DATE,Home_Price_Index,Interest_Rate,Unemployment_Rate,Inflation_CPI,Building_Permits,Consumer_Sentiment,Housing_Starts,US_Population,Mortgage_Rate,Median_Income,Interest_Rate_lag1,Unemployment_Rate_lag1,Inflation_CPI_lag1,Mortgage_Rate_lag1,Unemployment_Rate_roll3,Consumer_Sentiment_roll3,Income_to_Mortgage_Ratio,Income_to_Unemployment_Ratio,Permit_to_Population_Ratio,CPI_to_Interest_Rate,HPI_lag1,HPI_lag3,Home_Price_Index_Smoothed,Income_pct_change,Unemployment_pct_change,HPI_pct_change
2009-11-01,148.136,0.12,9.9,217.234,623,67.4,588,308289,4.875,35880.0,0.12,10.0,216.509,4.952,9.9,70.5,7360.0,3624.242424242424,0.0020208311032829584,1810.2833333333335,147.85,148.27700000000002,148.00366666666665,0.0,-0.010000000000000009,0.0019343929658437453
2009-12-01,147.931,0.12,9.9,217.347,664,72.5,581,308495,4.93,35880.0,0.12,9.9,217.234,4.875,9.933333333333334,70.16666666666667,7277.89046653144,3624.242424242424,0.002152384965720676,1811.2250000000001,148.136,148.025,147.97233333333335,0.0,0.0,-0.0013838634768049696
2010-01-01,147.39700000000002,0.11,9.8,217.488,636,74.4,614,308706,5.03,35450.0,0.12,9.9,217.347,4.93,9.866666666666667,71.43333333333334,7047.713717693837,3617.34693877551,0.002060212629492138,1977.1636363636364,147.931,147.85,147.82133333333334,-0.011984392419175038,-0.010101010101010055,-0.0036097910512332687
2010-02-01,145.632,0.13,9.8,217.281,650,73.6,604,308904,4.99,35450.0,0.11,9.8,217.488,5.03,9.833333333333334,73.5,7104.208416833667,3617.34693877551,0.0021042136068163573,1671.3923076923077,147.39700000000002,148.136,146.98666666666668,0.0,0.0,-0.011974463523681034
2010-03-01,145.858,0.16,9.9,217.353,687,73.6,636,309095,4.9675,35450.0,0.13,9.8,217.281,4.99,9.833333333333334,73.86666666666666,7136.386512330146,3580.808080808081,0.0022226176418253286,1358.45625,145.632,147.931,146.29566666666668,0.0,0.010204081632652962,0.001551856734783641
2010-04-01,146.401,0.2,9.9,217.403,637,72.2,687,309289,5.098000000000001,35450.0,0.16,9.9,217.353,4.9675,9.866666666666667,73.13333333333333,6953.707336210277,3580.808080808081,0.0020595624157341516,1087.0149999999999,145.858,147.39700000000002,145.96366666666665,0.0,0.0,0.003722798886588441
2010-05-01,146.391,0.2,9.6,217.29,575,73.6,583,309485,4.8875,35450.0,0.2,9.9,217.403,5.098000000000001,9.799999999999999,73.13333333333333,7253.196930946291,3692.7083333333335,0.0018579252629368143,1086.4499999999998,146.401,145.632,146.21666666666667,0.0,-0.030303030303030387,-6.83055443612135e-05
2010-06-01,145.718,0.18,9.4,217.199,587,76.0,536,309691,4.7375,35450.0,0.2,9.6,217.29,4.8875,9.633333333333335,73.93333333333334,7482.849604221637,3771.276595744681,0.001895437710492071,1206.6611111111113,146.391,145.858,146.17,0.0,-0.02083333333333326,-0.004597277155016344
2010-07-01,144.986,0.18,9.4,217.605,579,67.8,546,309913,4.564,35450.0,0.18,9.4,217.199,4.7375,9.466666666666667,72.46666666666667,7767.309377738826,3771.276595744681,0.001868266255368442,1208.9166666666667,145.718,146.401,145.6983333333333,0.0,0.0,-0.005023401364278923
2010-08-01,143.911,0.19,9.5,217.923,580,68.9,599,310146,4.4275,35450.0,0.18,9.4,217.605,4.564,9.433333333333332,70.9,8006.775832862789,3731.5789473684213,0.001870086991287974,1146.963157894737,144.986,146.391,144.87166666666667,0.0,0.010638297872340496,-0.0074145089870745196
2010-09-01,143.015,0.19,9.5,218.275,563,68.2,594,310385,4.346,35450.0,0.19,9.5,217.923,4.4275,9.466666666666667,68.3,8156.92590888173,3731.5789473684213,0.001813876314899238,1148.8157894736842,143.911,145.718,143.9706666666667,0.0,0.0,-0.006226070279547913
2010-10-01,142.526,0.19,9.4,219.035,558,67.7,543,310612,4.225,35450.0,0.19,9.5,218.275,4.346,9.466666666666667,68.26666666666667,8390.532544378699,3771.276595744681,0.0017964534531827489,1152.8157894736842,143.015,144.986,143.15066666666667,0.0,-0.010526315789473606,-0.0034192217599551267
2010-11-01,142.166,0.19,9.8,219.59,560,71.6,545,310820,4.3,35450.0,0.19,9.4,219.035,4.225,9.566666666666666,69.16666666666667,8244.186046511628,3617.34693877551,0.0018016858632005663,1155.7368421052631,142.526,143.911,142.569,0.0,0.042553191489361764,-0.0025258549317318524
